Year,Actuals,Green transition,Green stimulus,Dash for Energy,Slow growth
2010,329.26,344.00,340.00,353.00,348.00
2011,318.25,342.60,336.40,356.40,347.20
2012,318.76,341.20,332.80,359.80,346.40
2013,316.84,339.80,329.20,363.20,345.60
2014,303.35,338.40,325.60,366.60,344.80
2015,303.89,337.00,322.00,370.00,344.00
2016,304.28,341.00,326.00,373.00,346.20
2017,299.87,345.00,330.00,376.00,348.40
2018,299.86,349.00,334.00,379.00,350.60
