Year,Actuals,Green Transition,Green Stimulus,Dash for Energy,Slow Growth
2010,158.08,150.40,137.40,165.80,160.50
2011,145.38,147.18,128.82,165.50,157.58
2012,159.38,143.96,120.24,165.20,154.66
2013,148.41,140.74,111.66,164.90,151.74
2014,125.21,137.52,103.08,164.60,148.82
2015,105.00,134.30,94.50,164.30,145.90
2016,82.97,130.42,91.88,161.06,145.46
2017,73.07,126.54,89.26,157.82,145.02
2018,66.82,122.66,86.64,154.58,144.58
